     Week         GPSTime       E        N          U       VX       VY       VZ          Heading               Pitch                  Roll
2129.00000 375151.10 0.000 0.000 0.000 0.000 0.000 -0.001 90.6463808013 -0.7413386320 0.6177802834
2129.00000 375151.20 0.000 0.000 0.000 0.000 -0.001 0.001 90.6451317533 -0.7419459672 0.6170010608
2129.00000 375151.30 0.000 0.000 0.000 0.001 0.000 -0.000 90.6458078435 -0.7419230489 0.6196882329
2129.00000 375151.40 0.000 0.000 0.000 0.001 0.000 -0.000 90.6464782042 -0.7421006658 0.6202611907
2129.00000 375151.50 0.000 0.000 0.000 0.000 0.001 0.001 90.6453609365 -0.7434700350 0.6206106950
2129.00000 375151.60 0.000 0.000 0.000 -0.000 -0.000 -0.002 90.6457906548 -0.7426793532 0.6195048864
2129.00000 375151.70 0.000 0.000 0.000 0.001 0.001 0.001 90.6459797309 -0.7412412291 0.6197913653
2129.00000 375151.80 0.000 0.000 0.000 0.001 -0.000 0.000 90.6452578041 -0.7429028067 0.6205018330
2129.00000 375151.90 0.000 0.000 0.000 -0.000 0.000 -0.002 90.6466615507 -0.7424845476 0.6214013767
2129.00000 375152.00 0.000 0.000 0.000 0.000 0.000 0.002 90.6456646041 -0.7401468797 0.6204846442
2129.00000 375152.10 0.000 0.000 0.000 0.000 -0.001 0.001 90.6444384744 -0.7422897419 0.6222780021
2129.00000 375152.20 0.000 0.000 0.000 0.001 0.000 -0.002 90.6460026492 -0.7426965419 0.6238307178
2129.00000 375152.30 0.000 0.000 0.000 0.001 0.002 0.001 90.6455786604 -0.7419173193 0.6227191796
2129.00000 375152.40 0.000 0.000 0.000 -0.000 0.000 0.000 90.6439571899 -0.7425819504 0.6222092472
2129.00000 375152.50 0.000 0.000 0.000 0.000 -0.002 -0.002 90.6452005083 -0.7410292348 0.6241974107
2129.00000 375152.60 0.000 0.000 0.000 0.001 -0.001 0.001 90.6455442830 -0.7403875220 0.6277841265
2129.00000 375152.70 0.000 0.000 0.000 0.001 -0.000 0.000 90.6441405364 -0.7424100630 0.6279101773
2129.00000 375152.80 0.000 0.000 0.000 0.001 0.001 -0.002 90.6441462659 -0.7414131165 0.6261569264
2129.00000 375152.90 0.000 0.000 0.000 0.001 0.001 0.001 90.6455270942 -0.7403760629 0.6252688418
2129.00000 375153.00 0.000 0.000 0.000 0.000 -0.002 0.000 90.6444270153 -0.7420089926 0.6273945152
2129.00000 375153.10 0.000 0.000 0.000 0.001 -0.001 -0.001 90.6447536012 -0.7415219785 0.6294858112
2129.00000 375153.20 0.000 0.000 0.000 -0.001 0.002 0.001 90.6451145646 -0.7417282433 0.6278185040
2129.00000 375153.30 0.000 0.000 0.000 0.000 0.001 0.001 90.6443926378 -0.7406682713 0.6241401150
2129.00000 375153.40 0.000 0.000 0.000 0.003 -0.001 -0.000 90.6458021140 -0.7402557417 0.6220087120
2129.00000 375153.50 0.000 0.000 0.000 0.000 -0.002 0.001 90.6453666660 -0.7429085363 0.6263803799
2129.00000 375153.60 -0.001 0.000 -0.000 -0.000 -0.001 0.000 90.6439228124 -0.7415334376 0.6288097210
2129.00000 375153.70 -0.001 0.000 -0.000 0.002 0.002 -0.001 90.6451145646 -0.7397343501 0.6271767913
2129.00000 375153.80 -0.001 -0.001 -0.001 0.000 0.000 0.002 90.6451775900 -0.7421121250 0.6255037545
2129.00000 375153.90 -0.001 -0.001 -0.001 -0.000 -0.000 0.001 90.6433097476 -0.7413844686 0.6249136080
2129.00000 375154.00 -0.001 -0.001 -0.001 0.002 -0.001 0.000 90.6450629984 -0.7394192234 0.6275664026
2129.00000 375154.10 -0.002 -0.002 -0.001 0.002 0.000 0.001 90.6457333590 -0.7411782038 0.6264720532
2129.00000 375154.20 -0.002 -0.002 -0.001 -0.000 -0.001 0.000 90.6436993589 -0.7422610940 0.6281221716
2129.00000 375154.30 -0.002 -0.002 -0.001 0.000 0.001 -0.000 90.6443238829 -0.7390353416 0.6253948925
2129.00000 375154.40 -0.002 -0.003 -0.001 0.001 -0.001 0.001 90.6453380182 -0.7405135727 0.6266668588
2129.00000 375154.50 -0.003 -0.002 -0.002 0.001 -0.001 -0.000 90.6437222772 -0.7415735447 0.6259907686
2129.00000 375154.60 -0.003 -0.002 -0.002 0.000 0.000 0.000 90.6444843110 -0.7403703333 0.6267184250
2129.00000 375154.70 -0.003 -0.002 -0.002 -0.000 -0.001 0.000 90.6453838548 -0.7403932516 0.6271481434
2129.00000 375154.80 -0.003 -0.003 -0.002 0.002 -0.001 0.000 90.6441405364 -0.7405250319 0.6279445547
2129.00000 375154.90 -0.003 -0.003 -0.002 0.000 0.001 0.001 90.6440775110 -0.7408115108 0.6263402729
2129.00000 375155.00 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6447536012 -0.7408516178 0.6260423348
2129.00000 375155.10 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6439801082 -0.7389379388 0.6240427121
2129.00000 375155.20 -0.003 -0.003 -0.002 0.001 -0.002 0.001 90.6442207505 -0.7400093699 0.6265866448
2129.00000 375155.30 -0.003 -0.003 -0.002 0.000 -0.002 0.001 90.6450458097 -0.7411896629 0.6279273660
2129.00000 375155.40 -0.003 -0.003 -0.002 0.000 -0.000 0.000 90.6445244181 -0.7402786600 0.6281565491
2129.00000 375155.50 -0.003 -0.003 -0.002 0.001 0.001 0.001 90.6445358772 -0.7389780458 0.6261225489
2129.00000 375155.60 -0.003 -0.003 -0.002 0.000 -0.001 0.002 90.6454697984 -0.7407484854 0.6249250671
2129.00000 375155.70 -0.003 -0.003 -0.002 0.001 -0.003 -0.000 90.6448223561 -0.7403932516 0.6274403519
2129.00000 375155.80 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6443926378 -0.7391098261 0.6302822225
2129.00000 375155.90 -0.003 -0.003 -0.002 0.000 0.001 0.001 90.6442665871 -0.7401239614 0.6289071238
2129.00000 375156.00 -0.003 -0.003 -0.002 0.002 0.001 0.000 90.6453380182 -0.7399578037 0.6243291910
2129.00000 375156.10 -0.003 -0.003 -0.002 -0.001 -0.002 0.001 90.6446791167 -0.7403989812 0.6244609713
2129.00000 375156.20 -0.003 -0.003 -0.002 -0.001 -0.003 0.001 90.6440660519 -0.7393103614 0.6264147574
2129.00000 375156.30 -0.003 -0.003 -0.002 0.002 0.000 -0.000 90.6456302266 -0.7390468008 0.6281450900
2129.00000 375156.40 -0.003 -0.003 -0.002 0.001 0.002 0.001 90.6441921026 -0.7405937868 0.6254521883
2129.00000 375156.50 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6444040969 -0.7412469587 0.6233379741
2129.00000 375156.60 -0.003 -0.003 -0.002 0.001 -0.001 -0.000 90.6465870661 -0.7390926374 0.6230113881
2129.00000 375156.70 -0.003 -0.003 -0.002 0.001 -0.001 0.001 90.6453380182 -0.7391556628 0.6240828192
2129.00000 375156.80 -0.003 -0.003 -0.002 0.000 -0.002 0.001 90.6442665871 -0.7404218995 0.6232348417
2129.00000 375156.90 -0.003 -0.003 -0.002 0.002 -0.001 0.000 90.6459224351 -0.7397343501 0.6239223910
2129.00000 375157.00 -0.003 -0.003 -0.002 0.000 -0.001 0.002 90.6450171618 -0.7399807220 0.6246443178
2129.00000 375157.10 -0.003 -0.003 -0.002 -0.000 -0.001 0.000 90.6440717814 -0.7398432121 0.6260308757
2129.00000 375157.20 -0.003 -0.003 -0.002 0.002 -0.000 0.001 90.6456531449 -0.7384681134 0.6257501264
2129.00000 375157.30 -0.003 -0.003 -0.002 0.000 0.002 0.003 90.6458536802 -0.7409318319 0.6231488980
2129.00000 375157.40 -0.003 -0.003 -0.002 -0.001 -0.001 -0.001 90.6463406943 -0.7398604009 0.6218253655
2129.00000 375157.50 -0.003 -0.003 -0.002 0.002 -0.004 0.001 90.6445301477 -0.7387946994 0.6233666219
2129.00000 375157.60 -0.003 -0.003 -0.002 0.001 -0.002 0.002 90.6447650604 -0.7397801868 0.6306431859
2129.00000 375157.70 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6462833985 -0.7414474939 0.6303051408
2129.00000 375157.80 -0.003 -0.003 -0.002 0.000 0.002 0.001 90.6443410716 -0.7396713248 0.6264777828
2129.00000 375157.90 -0.003 -0.003 -0.002 0.000 0.000 0.002 90.6452807224 -0.7384623838 0.6229884698
2129.00000 375158.00 -0.003 -0.003 -0.002 0.001 -0.003 0.001 90.6461516182 -0.7411438263 0.6241744924
2129.00000 375158.10 -0.003 -0.003 -0.002 0.000 -0.002 0.001 90.6448338153 -0.7403817924 0.6279445547
2129.00000 375158.20 -0.003 -0.003 -0.002 0.000 0.002 0.001 90.6448796519 -0.7390124233 0.6261397377
2129.00000 375158.30 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6460083788 -0.7397973755 0.6243864868
2129.00000 375158.40 -0.003 -0.003 -0.002 0.002 -0.000 0.001 90.6456244971 -0.7397343501 0.6240484417
2129.00000 375158.50 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6450458097 -0.7407141080 0.6247359911
2129.00000 375158.60 -0.003 -0.003 -0.002 0.001 -0.001 -0.000 90.6450343505 -0.7390410712 0.6255553207
2129.00000 375158.70 -0.003 -0.003 -0.002 0.002 0.000 0.001 90.6453723956 -0.7394650600 0.6254349996
2129.00000 375158.80 -0.003 -0.003 -0.002 -0.000 0.000 0.001 90.6457505478 -0.7405193023 0.6231488980
2129.00000 375158.90 -0.003 -0.003 -0.002 0.000 -0.002 0.000 90.6450228914 -0.7397458093 0.6238307178
2129.00000 375159.00 -0.003 -0.003 -0.002 0.000 0.000 0.002 90.6453494773 -0.7387660515 0.6241343854
2129.00000 375159.10 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6460542154 -0.7404047108 0.6249422559
2129.00000 375159.20 -0.003 -0.003 -0.002 0.000 -0.001 -0.001 90.6449197590 -0.7403989812 0.6246156699
2129.00000 375159.30 -0.003 -0.003 -0.002 0.001 0.001 0.001 90.6452692632 -0.7389895050 0.6245927516
2129.00000 375159.40 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6459797309 -0.7403359558 0.6232692191
2129.00000 375159.50 -0.003 -0.003 -0.002 0.000 -0.002 0.000 90.6450744576 -0.7406682713 0.6258360700
2129.00000 375159.60 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6451718604 -0.7390468008 0.6267699912
2129.00000 375159.70 -0.003 -0.003 -0.002 0.001 0.002 0.001 90.6458078435 -0.7394707896 0.6249422559
2129.00000 375159.80 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6454640689 -0.7400380178 0.6228853374
2129.00000 375159.90 -0.003 -0.003 -0.002 0.000 -0.002 0.001 90.6453093703 -0.7389837754 0.6239109319
2129.00000 375160.00 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6461229703 -0.7394249529 0.6256469940
2129.00000 375160.10 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6456474154 -0.7406568122 0.6249307967
2129.00000 375160.20 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6452005083 -0.7381529866 0.6250797658
2129.00000 375160.30 -0.003 -0.003 -0.002 0.002 0.001 0.002 90.6465584183 -0.7389035613 0.6240083347
2129.00000 375160.40 -0.003 -0.003 -0.002 0.000 -0.002 0.001 90.6462261027 -0.7409203728 0.6238937431
2129.00000 375160.50 -0.003 -0.003 -0.002 -0.000 -0.001 0.000 90.6449827843 -0.7387431332 0.6259907686
2129.00000 375160.60 -0.003 -0.003 -0.002 0.001 0.001 0.001 90.6462490210 -0.7381300683 0.6266210222
2129.00000 375160.70 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6463922605 -0.7398661304 0.6252688418
2129.00000 375160.80 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6451317533 -0.7394822487 0.6246500474
2129.00000 375160.90 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6458364914 -0.7388061585 0.6248333939
2129.00000 375161.00 -0.003 -0.003 -0.002 0.000 -0.002 0.001 90.6463979901 -0.7389322092 0.6249766334
2129.00000 375161.10 -0.003 -0.003 -0.002 0.002 0.001 0.002 90.6454067731 -0.7386056233 0.6251828982
2129.00000 375161.20 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6459568126 -0.7398031051 0.6248391235
2129.00000 375161.30 -0.003 -0.003 -0.002 0.000 -0.001 -0.001 90.6460885929 -0.7403244967 0.6229655515
2129.00000 375161.40 -0.003 -0.003 -0.002 0.001 -0.001 0.001 90.6458880576 -0.7385827050 0.6258360700
2129.00000 375161.50 -0.003 -0.003 -0.002 0.001 0.001 0.001 90.6456703337 -0.7403932516 0.6242088699
2129.00000 375161.60 -0.003 -0.003 -0.002 -0.001 0.000 -0.000 90.6467589535 -0.7405193023 0.6230228473
2129.00000 375161.70 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6457791957 -0.7372247950 0.6229426332
2129.00000 375161.80 -0.003 -0.003 -0.002 0.001 -0.001 0.002 90.6446963054 -0.7402729305 0.6255152137
2129.00000 375161.90 -0.003 -0.003 -0.002 0.000 0.000 0.000 90.6470167845 -0.7403531446 0.6254006221
2129.00000 375162.00 -0.003 -0.003 -0.002 0.000 0.001 0.001 90.6464151788 -0.7389379388 0.6237848811
2129.00000 375162.10 -0.003 -0.003 -0.002 0.000 0.000 0.002 90.6442723167 -0.7390811783 0.6224384303
2129.00000 375162.20 -0.003 -0.003 -0.002 0.001 -0.003 0.000 90.6470511620 -0.7404963840 0.6239052023
2129.00000 375162.30 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6463177760 -0.7395280853 0.6255495911
2129.00000 375162.40 -0.003 -0.003 -0.002 -0.000 0.001 0.002 90.6449025702 -0.7390066937 0.6253318672
2129.00000 375162.50 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6466386324 -0.7391613923 0.6231660867
2129.00000 375162.60 -0.003 -0.003 -0.002 0.002 -0.001 0.000 90.6464380971 -0.7392587952 0.6235728868
2129.00000 375162.70 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6456416858 -0.7398202938 0.6250683066
2129.00000 375162.80 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6464151788 -0.7403073079 0.6248792305
2129.00000 375162.90 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6466042549 -0.7380498542 0.6244953488
2129.00000 375163.00 -0.003 -0.003 -0.002 0.000 0.000 0.002 90.6455901196 -0.7390582599 0.6247703685
2129.00000 375163.10 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6463521535 -0.7401411502 0.6254865658
2129.00000 375163.20 -0.003 -0.003 -0.002 0.000 0.000 0.000 90.6466730098 -0.7380785021 0.6262772475
2129.00000 375163.30 -0.003 -0.003 -0.002 0.000 0.001 0.001 90.6463235056 -0.7368581020 0.6256011573
2129.00000 375163.40 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6460542154 -0.7379982880 0.6257673151
2129.00000 375163.50 -0.003 -0.003 -0.002 0.002 -0.001 0.000 90.6455901196 -0.7395624628 0.6268215575
2129.00000 375163.60 -0.003 -0.003 -0.002 0.000 0.002 0.000 90.6462089140 -0.7388405360 0.6263230842
2129.00000 375163.70 -0.003 -0.003 -0.002 -0.002 0.004 0.001 90.6478361141 -0.7384165472 0.6200320076
2129.00000 375163.80 -0.003 -0.003 -0.002 0.002 -0.003 -0.002 90.6470511620 -0.7376946204 0.6191496526
2129.00000 375163.90 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6456244971 -0.7391556628 0.6199861710
2129.00000 375164.00 -0.003 -0.003 -0.002 -0.001 -0.002 0.001 90.6476470381 -0.7392129585 0.6246443178
2129.00000 375164.10 -0.003 -0.003 -0.002 0.001 -0.001 -0.001 90.6464438267 -0.7388348064 0.6240828192
2129.00000 375164.20 -0.003 -0.003 -0.002 0.001 0.001 0.000 90.6451775900 -0.7375284626 0.6251771686
2129.00000 375164.30 -0.003 -0.003 -0.002 -0.000 0.001 0.002 90.6464209084 -0.7391212853 0.6226905317
2129.00000 375164.40 -0.003 -0.003 -0.002 0.001 -0.002 -0.001 90.6462547506 -0.7389780458 0.6227478275
2129.00000 375164.50 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6450973759 -0.7382847669 0.6247760981
2129.00000 375164.60 -0.003 -0.003 -0.002 -0.001 0.001 0.001 90.6471084577 -0.7399348854 0.6233551628
2129.00000 375164.70 -0.003 -0.003 -0.002 0.000 -0.000 -0.001 90.6476928747 -0.7373966823 0.6206679907
2129.00000 375164.80 -0.003 -0.003 -0.002 0.003 -0.001 0.001 90.6447077646 -0.7397515389 0.6251313320
2129.00000 375164.90 -0.003 -0.003 -0.002 -0.001 -0.000 0.002 90.6462662098 -0.7419058602 0.6229941994
2129.00000 375165.00 -0.003 -0.003 -0.002 -0.000 0.001 -0.001 90.6475095282 -0.7391155557 0.6229254444
2129.00000 375165.10 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6450973759 -0.7380383951 0.6198486611
2129.00000 375165.20 -0.003 -0.003 -0.002 0.001 -0.001 0.001 90.6463464239 -0.7395624628 0.6231259797
2129.00000 375165.30 -0.003 -0.003 -0.002 0.001 -0.002 -0.001 90.6476126606 -0.7416766771 0.6230171177
2129.00000 375165.40 -0.003 -0.003 -0.002 -0.001 0.002 0.001 90.6448567336 -0.7386400007 0.6238364473
2129.00000 375165.50 -0.003 -0.003 -0.002 -0.000 0.000 0.001 90.6462891281 -0.7390811783 0.6212524077
2129.00000 375165.60 -0.003 -0.003 -0.002 0.002 -0.002 -0.000 90.6475610944 -0.7406911897 0.6217165035
2129.00000 375165.70 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6450343505 -0.7399005079 0.6240828192
2129.00000 375165.80 -0.003 -0.003 -0.002 -0.001 0.001 0.001 90.6461172408 -0.7409203728 0.6231546276
2129.00000 375165.90 -0.003 -0.003 -0.002 0.001 -0.001 -0.001 90.6473949366 -0.7391499332 0.6218826613
2129.00000 375166.00 -0.003 -0.003 -0.002 0.002 -0.000 0.001 90.6452807224 -0.7401354206 0.6221233035
2129.00000 375166.10 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6454583393 -0.7415277080 0.6236072642
2129.00000 375166.20 -0.003 -0.003 -0.002 0.000 0.000 -0.000 90.6478876803 -0.7398317530 0.6231374388
2129.00000 375166.30 -0.003 -0.003 -0.002 0.001 0.001 0.000 90.6461115112 -0.7384795726 0.6214185654
2129.00000 375166.40 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6454125027 -0.7402672009 0.6216878556
2129.00000 375166.50 -0.003 -0.003 -0.002 -0.000 -0.002 -0.001 90.6471371056 -0.7413959277 0.6231374388
2129.00000 375166.60 -0.003 -0.003 -0.002 0.000 0.001 -0.000 90.6464037197 -0.7384451951 0.6241687629
2129.00000 375166.70 -0.003 -0.003 -0.002 0.000 0.002 0.001 90.6457161703 -0.7395510036 0.6220946556
2129.00000 375166.80 -0.003 -0.003 -0.002 0.001 -0.001 -0.000 90.6468277084 -0.7405021136 0.6211664640
2129.00000 375166.90 -0.003 -0.003 -0.002 0.000 0.000 0.000 90.6468334380 -0.7398088347 0.6229884698
2129.00000 375167.00 -0.003 -0.003 -0.002 -0.000 0.000 0.001 90.6464209084 -0.7398718600 0.6230113881
2129.00000 375167.10 -0.003 -0.003 -0.002 0.001 -0.001 -0.001 90.6468047901 -0.7398145642 0.6221404923
2129.00000 375167.20 -0.003 -0.003 -0.002 0.001 0.001 0.001 90.6466615507 -0.7399119671 0.6224040529
2129.00000 375167.30 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6461745365 -0.7411782038 0.6215216978
2129.00000 375167.40 -0.003 -0.003 -0.002 -0.001 -0.001 -0.001 90.6469079225 -0.7406281643 0.6224155120
2129.00000 375167.50 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6469824070 -0.7385597867 0.6225472923
2129.00000 375167.60 -0.003 -0.003 -0.002 0.001 0.001 0.001 90.6462776689 -0.7409432911 0.6230113881
2129.00000 375167.70 -0.003 -0.003 -0.002 0.000 0.000 -0.000 90.6470683507 -0.7406969192 0.6212810556
2129.00000 375167.80 -0.003 -0.003 -0.002 0.001 -0.000 0.000 90.6469766774 -0.7384910317 0.6229598219
2129.00000 375167.90 -0.003 -0.003 -0.002 -0.000 0.000 0.001 90.6466500915 -0.7402041755 0.6221290331
2129.00000 375168.00 -0.003 -0.003 -0.002 0.000 -0.001 -0.001 90.6472803451 -0.7391671219 0.6225071853
2129.00000 375168.10 -0.003 -0.003 -0.002 0.001 0.000 -0.000 90.6470626211 -0.7382332007 0.6221576810
2129.00000 375168.20 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6462547506 -0.7397458093 0.6234181881
2129.00000 375168.30 -0.003 -0.003 -0.002 0.000 0.000 -0.001 90.6474063958 -0.7397572684 0.6227707458
2129.00000 375168.40 -0.003 -0.003 -0.002 0.001 0.001 0.000 90.6482314550 -0.7381873641 0.6216420190
2129.00000 375168.50 -0.003 -0.003 -0.002 0.000 0.000 0.002 90.6470110549 -0.7389207501 0.6214873204
2129.00000 375168.60 -0.003 -0.003 -0.002 0.001 -0.001 -0.000 90.6471371056 -0.7400953135 0.6217394218
2129.00000 375168.70 -0.003 -0.003 -0.002 0.000 -0.000 -0.001 90.6477960071 -0.7383477923 0.6236301825
2129.00000 375168.80 -0.003 -0.003 -0.002 0.000 0.002 0.001 90.6465756070 -0.7386629191 0.6232463008
2129.00000 375168.90 -0.003 -0.003 -0.002 0.000 0.000 -0.001 90.6473147225 -0.7395567332 0.6220602782
2129.00000 375169.00 -0.003 -0.003 -0.002 0.001 -0.001 -0.001 90.6484835565 -0.7384623838 0.6202841090
2129.00000 375169.10 -0.003 -0.003 -0.002 -0.000 -0.000 0.001 90.6465469591 -0.7388176177 0.6234296473
2129.00000 375169.20 -0.003 -0.003 -0.002 0.000 0.000 0.000 90.6470969986 -0.7387431332 0.6229884698
2129.00000 375169.30 -0.003 -0.003 -0.002 0.002 0.002 -0.001 90.6488044128 -0.7386629191 0.6222722726
2129.00000 375169.40 -0.003 -0.003 -0.002 0.000 0.002 0.001 90.6469308408 -0.7385139500 0.6206049654
2129.00000 375169.50 -0.003 -0.003 -0.002 -0.000 -0.001 -0.001 90.6473892071 -0.7398317530 0.6200434667
2129.00000 375169.60 -0.003 -0.003 -0.002 0.001 -0.001 -0.001 90.6484148015 -0.7384280064 0.6218425542
2129.00000 375169.70 -0.003 -0.003 -0.002 -0.000 0.002 -0.001 90.6468506267 -0.7373508457 0.6222550838
2129.00000 375169.80 -0.003 -0.003 -0.002 0.000 0.000 -0.000 90.6468105197 -0.7354027892 0.6198200132
2129.00000 375169.90 -0.003 -0.003 -0.002 0.005 -0.000 0.002 90.6490049480 -0.7402614713 0.6230916022
2129.00000 375170.00 -0.003 -0.003 -0.002 0.000 -0.001 0.001 90.6483689649 -0.7454925760 0.6226217768
2129.00000 375170.10 -0.003 -0.003 -0.002 -0.002 0.002 -0.003 90.6483231283 -0.7429429138 0.6220946556
2129.00000 375170.20 -0.003 -0.003 -0.002 0.000 -0.002 0.000 90.6478475733 -0.7388290768 0.6239682276
2129.00000 375170.30 -0.003 -0.003 -0.002 0.001 -0.002 0.001 90.6449541364 -0.7403989812 0.6282825998
2129.00000 375170.40 -0.003 -0.003 -0.002 0.001 0.002 -0.001 90.6484090719 -0.7435101420 0.6294285154
2129.00000 375170.50 -0.003 -0.003 -0.002 0.000 0.002 0.000 90.6487241987 -0.7424845476 0.6249766334
2129.00000 375170.60 -0.003 -0.003 -0.002 0.001 0.002 0.001 90.6466901986 -0.7428168631 0.6221061148
2129.00000 375170.70 -0.003 -0.003 -0.002 0.001 -0.003 -0.001 90.6489247340 -0.7459967788 0.6240026051
2129.00000 375170.80 -0.003 -0.003 -0.002 -0.001 -0.002 -0.001 90.6474923395 -0.7440315336 0.6290217154
2129.00000 375170.90 -0.003 -0.003 -0.002 -0.000 0.002 -0.000 90.6464380971 -0.7406568122 0.6304197324
2129.00000 375171.00 -0.003 -0.003 -0.002 0.000 0.002 0.000 90.6482199959 -0.7419746151 0.6249479855
2129.00000 375171.10 -0.003 -0.003 -0.002 0.000 -0.001 -0.001 90.6474694212 -0.7427022715 0.6250281996
2129.00000 375171.20 -0.003 -0.003 -0.002 -0.001 0.001 -0.001 90.6476069310 -0.7379123443 0.6242718953
2129.00000 375171.30 -0.003 -0.003 -0.002 0.001 0.001 0.001 90.6495607171 -0.7385540571 0.6255152137
2129.00000 375171.40 -0.003 -0.003 -0.002 0.004 -0.001 -0.001 90.6476241198 -0.7417225137 0.6229941994
2129.00000 375171.50 -0.003 -0.003 -0.002 -0.000 0.001 -0.001 90.6480194606 -0.7416308404 0.6253490559
2129.00000 375171.60 -0.003 -0.003 -0.002 -0.002 -0.000 0.000 90.6482658325 -0.7388691839 0.6236817487
2129.00000 375171.70 -0.003 -0.003 -0.002 0.002 -0.001 -0.001 90.6481627001 -0.7402729305 0.6268559349
2129.00000 375171.80 -0.003 -0.003 -0.002 0.002 0.001 -0.002 90.6480137311 -0.7415850038 0.6242604361
